m_med_GeV,m_chi_GeV
1529.7489,1
1529.6988,1.0835063
1529.6418,1.173986
1529.577,1.2720213
1529.5034,1.3782432
1529.4201,1.4933352
1529.3259,1.6180382
1529.2196,1.7531546
1529.0996,1.8995542
1528.9646,2.058179
1528.8126,2.23005
1528.6419,2.4162734
1528.4503,2.6180475
1528.2355,2.8366711
1527.995,3.0735512
1527.7259,3.3302122
1527.4251,3.6083061
1527.0891,3.9096226
1526.7144,4.2361009
1526.2967,4.5898422
1525.8315,4.9731231
1525.3139,5.3884105
1524.7386,5.838377
1524.0996,6.3259185
1523.3905,6.8541729
1522.6045,7.4265399
1521.734,8.0467031
1520.7708,8.7186539
1519.7061,9.4467169
1518.5304,10.235578
1517.2337,11.090313
1515.8049,12.016425
1514.2326,13.019873
1512.5045,14.107115
1510.6075,15.285149
1508.5282,16.561555
1506.2522,17.944551
1503.765,19.443034
1501.0515,21.066651
1498.0966,22.82585
1494.8848,24.731954
1491.4014,26.797229
1487.6319,29.034968
1483.5629,31.459572
1479.1824,34.086646
1474.4802,36.933097
1469.4491,40.017245
1464.0849,43.35894
1458.3877,46.979686
1452.3628,50.902788
1446.0216,55.153494
1439.383,59.759161
1432.4746,64.749431
1425.3339,70.156419
1418.0102,76.014926
1410.5655,82.362655
1403.0767,89.240459
1395.6367,96.692604
1388.3562,104.76705
1381.3648,113.51576
1374.8127,122.99505
1368.8718,133.26592
1363.7365,144.39447
1359.6247,156.45233
1356.7779,169.51709
1355.4619,183.67284
1355.9667,199.01069
1358.6059,215.62935
1363.717,233.63577
1371.66,253.14584
1382.8173,274.28512
1397.5933,297.18967
1416.4133,322.00689
1439.7236,348.89651
1467.9917,378.03159
1501.7062,409.59963
1541.3778,443.80379
1587.5408,480.86423
1640.7548,521.01945
1701.6072,564.52788
1770.716,611.66954
1848.7338,662.74783
1936.3516,718.09148
2034.3037,778.05668
2143.3732,843.02935
2264.3977,913.42766
2398.2753,989.70467
2545.9723,1072.3513
2708.5296,1161.8994
2887.0717,1258.9254
