m_med_GeV,m_chi_GeV
2639.8099,1
2639.7834,1.0977573
2639.7532,1.2050711
2639.7187,1.3228755
2639.6795,1.4521963
2639.6348,1.594159
2639.5839,1.7499997
2639.5259,1.9210749
2639.4597,2.108874
2639.3844,2.3150318
2639.2986,2.541343
2639.2008,2.7897778
2639.0893,3.062499
2638.9623,3.3618805
2638.8177,3.6905289
2638.6529,4.051305
2638.4651,4.4473496
2638.2511,4.8821104
2638.0074,5.3593723
2637.7297,5.88329
2637.4134,6.4584244
2637.053,7.0897825
2636.6425,7.7828604
2636.175,8.5436917
2635.6424,9.3788999
2635.0358,10.295756
2634.345,11.302241
2633.5584,12.407117
2632.6626,13.620003
2631.6427,14.951458
2630.4816,16.413072
2629.1599,18.017569
2627.6556,19.778918
2625.9439,21.712451
2623.9963,23.835002
2621.781,26.165047
2619.2616,28.722871
2616.3974,31.530741
2613.142,34.613101
2609.4434,37.996784
2605.2429,41.711246
2600.4746,45.788824
2595.0646,50.265016
2588.9301,55.178787
2581.9788,60.572916
2574.1079,66.49436
2565.2034,72.994668
2555.1392,80.130429
2543.7769,87.963763
2530.965,96.562861
2516.5385,106.00258
2500.3197,116.36511
2482.118,127.74065
2461.7315,140.22823
2438.9486,153.93656
2413.5509,168.98498
2385.3164,185.50449
2354.0246,203.63891
2319.4627,223.5461
2281.4322,245.39936
2239.7581,269.38893
2194.2978,295.72366
2144.9524,324.63281
2091.6765,356.36803
2034.4897,391.2056
1973.4854,429.4488
1908.8393,471.43055
1840.8138,517.51632
1769.7596,568.10731
1696.113,623.64394
1620.388,684.60968
1543.164,751.53527
1465.0695,825.00332
1386.7619,905.65341
1308.906,994.18763
1232.1513,1091.3767
1157.1108,1198.0667
1084.3419,1315.1865
1014.332,1443.7556
947.48705,1584.8932
