m_med_GeV,m_chi_GeV
3549.9893,1
3549.9872,1.1052951
3549.9846,1.2216773
3549.9816,1.350314
3549.9779,1.4924955
3549.9736,1.6496481
3549.9684,1.823348
3549.9621,2.0153377
3549.9546,2.227543
3549.9457,2.4620924
3549.935,2.7213388
3549.9221,3.0078825
3549.9067,3.3245979
3549.8883,3.6746619
3549.8663,4.061586
3549.8398,4.4892513
3549.8082,4.9619476
3549.7704,5.4844166
3549.725,6.061899
3549.6707,6.7001875
3549.6057,7.4056847
3549.5279,8.1854673
3549.4347,9.0473572
3549.3231,10
3549.1894,11.052951
3549.0294,12.216773
3548.8378,13.50314
3548.6085,14.924955
3548.3338,16.496481
3548.005,18.23348
3547.6114,20.153377
3547.1402,22.27543
3546.5761,24.620924
3545.9008,27.213388
3545.0927,30.078825
3544.1254,33.245979
3542.968,36.746619
3541.5831,40.61586
3539.9263,44.892513
3537.9447,49.619476
3535.575,54.844166
3532.742,60.61899
3529.3562,67.001875
3525.3114,74.056847
3520.4813,81.854673
3514.7169,90.473572
3507.8417,100
3499.6481,110.52951
3489.8924,122.16773
3478.2895,135.0314
3464.5079,149.24955
3448.1639,164.96481
3428.8168,182.3348
3405.9651,201.53377
3379.0435,222.7543
3347.4235,246.20924
3310.4176,272.13388
3267.2893,300.78825
3217.2698,332.45979
3159.5849,367.46619
3093.4914,406.1586
3018.3263,448.92513
2933.5659,496.19476
2838.894,548.44166
2734.2731,606.1899
2620.0112,670.01875
2496.8142,740.56847
2365.8106,818.54673
2228.5423,904.73572
2086.911,1000
