m_med_GeV,m_chi_GeV
2.1503284,1
2.296632,1.0680004
2.4529078,1.1406249
2.6198402,1.2181879
2.7981621,1.3010252
2.9886579,1.3894955
3.1921679,1.4839818
3.4095928,1.5848932
3.6418977,1.6926666
3.8901183,1.8077687
4.1553657,1.9306977
4.438833,2.061986
4.7418024,2.2022019
5.065652,2.3519526
5.4118647,2.5118864
5.7820369,2.6826958
6.1778887,2.8651203
6.6012746,3.0599497
7.0541955,3.2680276
7.5388122,3.4902549
8.0574593,3.7275937
8.6126614,3.9810717
9.2071503,4.2517863
9.8438836,4.5409096
10.526065,4.8496934
11.257166,5.1794747
12.040953,5.5316812
12.881506,5.9078379
13.783253,6.3095734
14.750998,6.7386272
15.789947,7.1968567
16.905749,7.6862461
18.104525,8.2089142
19.392905,8.7671239
20.778068,9.3632921
22.267776,10
23.870422,10.680004
25.59506,11.406249
27.451451,12.181879
29.450106,13.010252
31.602316,13.894955
33.9202,14.839818
36.416737,15.848932
39.105798,16.926666
42.002183,18.077687
45.121644,19.306977
48.480915,20.61986
52.097725,22.022019
55.99082,23.519526
60.179971,25.118864
64.685981,26.826958
69.530684,28.651203
74.736946,30.599497
80.328653,32.680276
86.330702,34.902549
92.768989,37.275937
99.670392,39.810717
107.06276,42.517863
114.97489,45.409096
123.43654,48.496934
132.4784,51.794747
142.13212,55.316812
152.43033,59.078379
163.40667,63.095734
175.09581,67.386272
187.53358,71.968567
200.75704,76.862461
214.8046,82.089142
229.71619,87.671239
245.53347,93.632921
262.3,100
280.06159,106.80004
298.86656,114.06249
318.76611,121.81879
339.81473,130.10252
362.07065,138.94955
385.59633,148.39818
410.45899,158.48932
436.73124,169.26666
464.4917,180.77687
493.82564,193.06977
524.82577,206.1986
557.59296,220.22019
592.23704,235.19526
628.87766,251.18864
667.64513,268.26958
708.68132,286.51203
752.14064,305.99497
798.19091,326.80276
847.01439,349.02549
898.80879,372.75937
953.78826,398.10717
1012.1845,425.17863
1074.2478,454.09096
1140.2482,484.96934
1210.4765,517.94747
1285.2457,553.16812
1364.892,590.78379
1449.7764,630.95734
1540.2856,673.86272
1636.834,719.68567
1739.8645,768.62461
1849.851,820.89142
1967.2993,876.71239
2092.7495,936.32921
2226.7776,1000
2369.9982,1068.0004
2523.0659,1140.6249
2686.6786,1218.1879
2861.5798,1301.0252
3048.5615,1389.4955
3248.4676,1483.9818
3462.1967,1584.8932
3690.7063,1692.6666
3935.0166,1807.7687
4196.2143,1930.6977
4475.4579,2061.986
4773.9817,2202.2019
5093.102,2351.9526
5434.222,2511.8864
