# Lambiase, Mohanty, Nautiyal & Rao 2021, Phys. Rev. D 104, 023519 (arXiv:2102.04840) - Fig. 3(b)
# autoplot: no -- provenance record only. Figs. 3 and 5 draw the derived cmb_dipole_bound(), which carries both
#   injection channels and covers the 0.56-0.72 TeV band; this published region stops at 100 GeV.
# Planck-2018 + BAO CMB energy-injection constraint on the Dirac DM magnetic dipole moment:
#   joint 95% CL region in (ln(1e9 mu/mu_B), log10(m_chi/GeV)); outer (light-blue) boundary digitised
# Process: chi chibar -> e+e- at recombination, <sigma v> = alpha mu^2 (their Eq. 26), f = 1 (their Eq. 27)
# Operator: Dirac magnetic dipole (dim-5), L = (g/Lambda) chibar sigma^{mu nu} chi F_{mu nu}, mu = 2 g/Lambda
# y-axis convention: Lambda / C_M = 2/mu [GeV]  (dim-5 operator; mu in GeV^-1)
# Conversion: mu = 1e-9 exp(x) mu_B, mu_B = e/(2 m_e) = 296.30 GeV^-1 (alpha = 1/137.036, m_e = 0.51099895 MeV)
# Extraction method: arXiv v2 PDF (sha256 a26f064c...fdb03620) rendered at 600 dpi with macOS PDFKit;
#   axis calibration by linear fit to the tick marks (x: -10,-5,0,5,10; y: -3..2), rms residual 0.12 px (x),
#   0.15 px (y), i.e. 0.002 in ln(mu) and 0.001 in log10(m); per pixel row, the right-most pixel with B - R > 0.20
#   inside the axes frame (outer edge of the 95% region, checked by overlay), averaged in 0.1-dex bins of m_chi.
#   Pixel quantisation: 1 px = 0.016 in ln(mu), a 1.6% uncertainty on mu.
# Range: m_chi = 1 MeV - 100 GeV, the full mass prior of the fit (their Table I). No values beyond 100 GeV exist.
# Note: a two-parameter joint Bayesian 95% region, not a fixed-mass exclusion; the one-dimensional marginalised
#   bound is mu < 2.959e-7 mu_B (their Eq. 34). The boundary scales as mu ~ m_chi^0.32, not the sqrt(m_chi) of a
#   fixed-p_ann estimate: 6.5x weaker than 6.13e-5 sqrt(m_chi/GeV) GeV^-1 at 1 MeV, 0.78x of it at 100 GeV.
# mchi_GeV  lambda_plot_GeV
1.0000e-03  1.5830e+05
1.2589e-03  1.5252e+05
1.5849e-03  1.4467e+05
1.9953e-03  1.3687e+05
2.5119e-03  1.2954e+05
3.1623e-03  1.2229e+05
3.9811e-03  1.1551e+05
5.0119e-03  1.0878e+05
6.3096e-03  1.0247e+05
7.9433e-03  9.6329e+04
1.0000e-02  9.0636e+04
1.2589e-02  8.5130e+04
1.5849e-02  7.9822e+04
1.9953e-02  7.4870e+04
2.5119e-02  7.0097e+04
3.1623e-02  6.5484e+04
3.9811e-02  6.1157e+04
5.0119e-02  5.7145e+04
6.3096e-02  5.3159e+04
7.9433e-02  4.9642e+04
1.0000e-01  4.6079e+04
1.2589e-01  4.2875e+04
1.5849e-01  3.9832e+04
1.9953e-01  3.6978e+04
2.5119e-01  3.4266e+04
3.1623e-01  3.1694e+04
3.9811e-01  2.9351e+04
5.0119e-01  2.7115e+04
6.3096e-01  2.5077e+04
7.9433e-01  2.3165e+04
1.0000e+00  2.1395e+04
1.2589e+00  1.9723e+04
1.5849e+00  1.8155e+04
1.9953e+00  1.6727e+04
2.5119e+00  1.5425e+04
3.1623e+00  1.4199e+04
3.9811e+00  1.3051e+04
5.0119e+00  1.2027e+04
6.3096e+00  1.1058e+04
7.9433e+00  1.0187e+04
1.0000e+01  9.3631e+03
1.2589e+01  8.6067e+03
1.5849e+01  7.9126e+03
1.9953e+01  7.2823e+03
2.5119e+01  6.7022e+03
3.1623e+01  6.1660e+03
3.9811e+01  5.6728e+03
5.0119e+01  5.2208e+03
6.3096e+01  4.8050e+03
7.9433e+01  4.4174e+03
1.0000e+02  4.1771e+03
