 log10(E/ev)        e+e-     photons
      3.6990      0.3084      0.8767
      3.9315      0.3072      0.7697
      4.1640      0.3044      0.7021
      4.3965      0.2983      0.6842
      4.6291      0.2944      0.6963
      4.8616      0.2819      0.6748
      5.0941      0.2593      0.5851
      5.3267      0.2283      0.4591
      5.5592      0.1904      0.3256
      5.7917      0.1527      0.2161
      6.0242      0.1770      0.1448
      6.2568      0.3680      0.1631
      6.4893      0.6173      0.2924
      6.7218      0.8228      0.4681
      6.9543      0.9298      0.5957
      7.1869      0.9756      0.6781
      7.4194      0.9932      0.7180
      7.6519      0.9889      0.7260
      7.8844      0.9288      0.7195
      8.1170      0.8256      0.6858
      8.3495      0.7032      0.6288
      8.5820      0.5589      0.5462
      8.8145      0.4296      0.4469
      9.0471      0.3952      0.3591
      9.2796      0.4660      0.3184
      9.5121      0.5714      0.3378
      9.7446      0.6388      0.3905
      9.9772      0.6243      0.4228
     10.2097      0.5593      0.4212
     10.4422      0.4868      0.3902
     10.6747      0.4502      0.3307
     10.9073      0.4357      0.3901
     11.1398      0.4083      0.4332
     11.3723      0.3994      0.4148
     11.6048      0.4049      0.4029
     11.8374      0.4064      0.4047
     12.0699      0.4070      0.4069
     12.3024      0.4016      0.4017
     12.5349      0.4036      0.4037
     12.7675      0.4056      0.4056
