                      mDM  e^+_L e^-_L              e^+_R e^-_R              e^+ e^-                  \mu_L^+ \mu_L^-          \mu_R^+ \mu_R^-          \mu^+ \mu^-              \tau_L^+ \tau_L^-        \tau_R^+ \tau_R^-        \tau^+ \tau^-            q \bar{q}                c \bar{c}                b \bar{b}                t \bar{t}                W_L^+ W_L^-              W_T^+ W_T^-              W^+ W^-                  Z_L^+ Z_L^-              Z_T^+ Z_T^-              Z^0 Z^0                  gg                       \gamma \gamma            h h                      \nu_e \bar{\nu}_e        \nu_\mu \bar{\nu}_\mu    \nu_\tau \bar{\nu}_\tau  VV \rightarrow 4e        VV \rightarrow 4\mu      VV \rightarrow 4\tau   
                5.000E+00                   0.6151                   0.6151                   0.6151                   0.2164                   0.1545                   0.1854                   0.1419                   0.1419                   0.1419                   0.2332                   0.2348                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2348                   0.3697                   0.0000                   0.0000                   0.0000                   0.0000                   0.5142                   0.1755                   0.1622
                6.000E+00                   0.6277                   0.6277                   0.6277                   0.2262                   0.1614                   0.1938                   0.1403                   0.1403                   0.1403                   0.2274                   0.2290                   0.2671                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2290                   0.3844                   0.0000                   0.0000                   0.0000                   0.0000                   0.5355                   0.1800                   0.1567
                8.000E+00                   0.6223                   0.6223                   0.6223                   0.2390                   0.1722                   0.2056                   0.1402                   0.1402                   0.1402                   0.2191                   0.2209                   0.2562                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2209                   0.4013                   0.0000                   0.0000                   0.0000                   0.0000                   0.5583                   0.1888                   0.1504
                1.000E+01                   0.6129                   0.6129                   0.6129                   0.2451                   0.1790                   0.2121                   0.1413                   0.1413                   0.1413                   0.2138                   0.2158                   0.2447                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2158                   0.4112                   0.0000                   0.0000                   0.0000                   0.0000                   0.5665                   0.1958                   0.1476
                1.500E+01                   0.5674                   0.5674                   0.5674                   0.2472                   0.1857                   0.2164                   0.1449                   0.1449                   0.1449                   0.2070                   0.2093                   0.2298                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2093                   0.4097                   0.0000                   0.0000                   0.0000                   0.0000                   0.5591                   0.2058                   0.1464
                2.000E+01                   0.5316                   0.5316                   0.5316                   0.2418                   0.1853                   0.2136                   0.1474                   0.1474                   0.1474                   0.2043                   0.2068                   0.2218                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2068                   0.3970                   0.0000                   0.0000                   0.0000                   0.0000                   0.5400                   0.2090                   0.1478
                2.500E+01                   0.5026                   0.5026                   0.5026                   0.2349                   0.1825                   0.2087                   0.1488                   0.1488                   0.1488                   0.2033                   0.2059                   0.2168                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2058                   0.3845                   0.0000                   0.0000                   0.0000                   0.0000                   0.5202                   0.2088                   0.1494
                3.000E+01                   0.4833                   0.4833                   0.4833                   0.2281                   0.1788                   0.2034                   0.1495                   0.1495                   0.1495                   0.2029                   0.2056                   0.2136                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2056                   0.3705                   0.0000                   0.0000                   0.0000                   0.0000                   0.5022                   0.2071                   0.1509
                4.000E+01                   0.4635                   0.4635                   0.4635                   0.2167                   0.1713                   0.1940                   0.1492                   0.1492                   0.1492                   0.2031                   0.2057                   0.2102                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2057                   0.3401                   0.0000                   0.0000                   0.0000                   0.0000                   0.4759                   0.2019                   0.1528
                5.000E+01                   0.4512                   0.4504                   0.4508                   0.2089                   0.1652                   0.1871                   0.1484                   0.1481                   0.1483                   0.2038                   0.2062                   0.2087                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.0000                   0.2060                   0.3278                   0.0000                   0.0000                   0.0000                   0.0000                   0.4580                   0.1965                   0.1536
